"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,35.011,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,34.583,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,33.269,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,32.433,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,32.459,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,32,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,31.286,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,30.948,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,29.616,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,29.295,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,29.523,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,27.987,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,26.945,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,26.352,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,25.563,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,23.038,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,23.064,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,22.991,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,21.461,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,20.711,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,25.637,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,21.22,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,21.86,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,21.236,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,20.489,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,19.619,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,21.784,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,20.831,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,18.827,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,19.008,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,17.714,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,17.141,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,16.689,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,16.847,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,16.199,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,16.979,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,16.356,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,14.154,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,16.419,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,15.332,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,14.267,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,13.924,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,13.702,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,11.619,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,14.067,,
"KOR","Korea","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,14.088,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,76.873,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,395.971,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,298.119,,
"MEX","Mexico","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,66.835,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,140.5,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,142.45,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,136.828,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,133.035,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,122.981,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,112.731,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,114.345,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,101.698,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,93.238,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,86.83,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,75.362,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,75.487,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,67.057,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,60.824,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,56.885,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,52.371,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,48.694,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,44.723,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,41.75,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,33.798,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,32.079,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,28.9,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,28.416,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,28.199,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,26.629,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,25.846,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,23.643,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,23.23,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,511.819,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,490.866,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,470.17,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,447.527,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,425.844,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,405.95,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,381.813,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,366.332,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,354.108,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,335.02,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,326.462,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,311.111,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,275.405,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,265.441,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,255.546,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,245.708,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,235.205,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,224.877,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,199.783,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,177.771,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,179.268,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,176.389,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,169.435,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,162.627,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,155.948,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,151.896,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,143.629,,
"USA","United States","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,137.628,,
